flag,id,first_name,last_name,email,gender,job_title,amount
U,11,Giralda,Baglan,gbaglan0@stanford.edu,Female,Computer Systems Analyst IV,172.08
U,12,Ceil,Hulstrom,chulstrom1@ucla.edu,Female,VP Sales,186.38
D,13,Willabella,Eliff,weliff2@tinypic.com,Female,Clinical Specialist,7.76
U,15,Rutherford,Shergill,rshergill4@1und1.de,Male,General Manager,168.05
D,16,Alyssa,Mattschas,amattschas5@tinypic.com,Female,Automation Specialist II,55.49
D,18,Seka,McDool,smcdool7@technorati.com,Female,Financial Advisor,28.0
I,21,Vivien,Smorfit,vsmorfit0@ycombinator.com,Female,Senior Cost Accountant,79.44
I,22,Alonzo,Aldrich,aaldrich1@so-net.ne.jp,Male,Administrative Officer,59.59
I,23,Hortensia,Ibotson,hibotson2@forbes.com,Female,Environmental Specialist,41.77
I,24,Giuditta,Thandi,gthandi3@opensource.org,Female,Structural Engineer,72.44
I,25,Berky,Scrivner,bscrivner4@intel.com,Male,Database Administrator IV,3.6
I,26,Farrell,Armsden,farmsden5@odnoklassniki.ru,Male,Environmental Tech,72.23
I,27,Stearn,Beardmore,sbeardmore6@umich.edu,Male,Sales Associate,86.61
I,28,Dody,Scough,dscough7@adobe.com,Female,Computer Systems Analyst II,28.4
I,29,Issi,Pardi,ipardi8@nps.gov,Female,Executive Secretary,3.87
I,20,Billi,Dealey,bdealey9@moonfruit.com,Female,Civil Engineer,75.45
U,4,Pascale,Jedrzaszkiewicz,pjedrzaszkiewicz3@auda.org.au,Male,Safety Technician IV,13.21
U,5,Sara,Whiterod,swhiterod4@hhs.gov,Female,Assistant Manager,17.85
